cycle,instant_energy,cumulative_energy
878,-1.24,-1.228031854
879,-1.21,-1.228011364
880,-1.21,-1.227990919
881,-1.17,-1.22792517
882,-1.16,-1.227848245
883,-1.12,-1.227726244
884,-1.1,-1.227581921
885,-1.07,-1.227404063
886,-1.14,-1.227305524
887,-1.08,-1.22713964
888,-1.25,-1.227165354
889,-1.31,-1.227258427
890,-1.3,-1.227340067
891,-1.32,-1.227443946
892,-1.34,-1.227569989
893,-1.33,-1.227684564
894,-1.38,-1.227854749
895,-1.37,-1.228013393
896,-1.35,-1.228149387
897,-1.23,-1.228151448
898,-1.39,-1.228331479
899,-1.38,-1.2285
900,-1.32,-1.228601554
901,-1.5,-1.228902439
902,-1.62,-1.229335548
903,-1.55,-1.229690265
904,-1.45,-1.229933702
905,-1.39,-1.230110375
906,-1.44,-1.230341786
907,-1.36,-1.230484581
908,-1.26,-1.230517052
909,-1.17,-1.230450549
910,-1.07,-1.230274424
911,-1.12,-1.230153509
912,-1.13,-1.230043812
913,-1.28,-1.230098468
914,-1.29,-1.230163934
915,-1.21,-1.230141921
916,-1.15,-1.230054526
917,-1.17,-1.229989107
918,-1.17,-1.22992383
919,-1.2,-1.229891304
920,-1.28,-1.229945711
921,-1.19,-1.229902386
922,-1.16,-1.229826652
923,-1.27,-1.22987013
924,-1.3,-1.229945946
925,-1.18,-1.229892009
926,-1.33,-1.23
927,-1.49,-1.230280172
928,-1.44,-1.23050592
929,-1.39,-1.230677419
930,-1.45,-1.230912997
931,-1.31,-1.230997854
932,-1.31,-1.231082529
933,-1.38,-1.23124197
934,-1.43,-1.231454545
935,-1.4,-1.231634615
936,-1.31,-1.23171825
937,-1.27,-1.231759062
938,-1.22,-1.231746539
939,-1.31,-1.231829787
940,-1.27,-1.231870351
941,-1.26,-1.231900212
942,-1.3,-1.231972428
943,-1.25,-1.231991525
944,-1.26,-1.232021164
945,-1.28,-1.232071882
946,-1.27,-1.232111932
947,-1.35,-1.232236287
948,-1.27,-1.23227608
949,-1.19,-1.232231579
950,-1.2,-1.232197687
951,-1.27,-1.232237395
952,-1.28,-1.232287513
953,-1.34,-1.232400419
954,-1.31,-1.232481675
955,-1.34,-1.232594142
