t,x1,y1,z1,x2,y2,z2
2.525,17.5079,-0.731724,24.5181,28.0509,20.2734,8.11308
2.5375,17.446,-0.416235,24.5706,27.9606,20.756,8.12309
2.55,17.3934,-0.0995049,24.6234,27.8851,21.2416,8.13272
2.5625,17.35,0.21819,24.6766,27.8245,21.7297,8.14198
2.575,17.3161,0.536572,24.7302,27.7789,22.2198,8.15087
2.5875,17.2914,0.855363,24.7842,27.7482,22.7116,8.15939
2.6,17.2762,1.17429,24.8385,27.7327,23.2046,8.16756
2.6125,17.2703,1.49306,24.8931,27.7322,23.6982,8.17537
2.625,17.2738,1.81141,24.9482,27.7467,24.1921,8.18283
2.6375,17.2866,2.12905,25.0035,27.7764,24.6858,8.18995
2.65,17.3088,2.44571,25.0592,27.8211,25.1788,8.19672
2.6625,17.3402,2.76111,25.1153,27.8808,25.6707,8.20316
2.675,17.381,3.07498,25.1717,27.9556,26.1611,8.20927
2.6875,17.4309,3.38704,25.2284,28.0452,26.6494,8.21505
2.7,17.49,3.69703,25.2854,28.1498,27.1352,8.22051
2.7125,17.5582,4.00466,25.3428,28.2691,27.618,8.22565
2.725,17.6355,4.30967,25.4005,28.403,28.0975,8.23048
2.7375,17.7216,4.61179,25.4585,28.5516,28.5732,8.235
2.75,17.8167,4.91077,25.5167,28.7146,29.0446,8.23921
2.7625,17.9205,5.20634,25.5753,28.8919,29.5112,8.24313
2.775,18.0329,5.49824,25.6342,29.0833,29.9728,8.24675
2.7875,18.1539,5.78621,25.6934,29.2887,30.4288,8.25008
2.8,18.2833,6.07002,25.7529,29.508,30.8788,8.25312
2.8125,18.421,6.3494,25.8126,29.7409,31.3223,8.25588
2.825,18.5669,6.62412,25.8727,29.9872,31.7591,8.25836
2.8375,18.7207,6.89394,25.933,30.2467,32.1887,8.26057
2.85,18.8825,7.15862,25.9936,30.5193,32.6106,8.2625
2.8625,19.0519,7.41793,26.0544,30.8045,33.0245,8.26417
2.875,19.2289,7.67165,26.1156,31.1023,33.43,8.26557
2.8875,19.4133,7.91955,26.177,31.4123,33.8267,8.26671
2.9,19.6049,8.16143,26.2386,31.7343,34.2143,8.2676
2.9125,19.8035,8.39706,26.3005,32.068,34.5924,8.26823
2.925,20.0089,8.62626,26.3626,32.4131,34.9606,8.26862
2.9375,20.221,8.84881,26.425,32.7693,35.3187,8.26876
2.95,20.4395,9.06453,26.4877,33.1363,35.6662,8.26865
2.9625,20.6642,9.27323,26.5506,33.5137,36.0028,8.26831
2.975,20.8949,9.47473,26.6137,33.9013,36.3283,8.26773
2.9875,21.1314,9.66885,26.677,34.2986,36.6423,8.26691
3,21.3735,9.85543,26.7406,34.7054,36.9445,8.26586
3.0125,21.6209,10.0343,26.8045,35.1213,37.2347,8.26459
3.025,21.8734,10.2053,26.8685,35.5458,37.5126,8.26309
3.0375,22.1308,10.3684,26.9328,35.9787,37.7779,8.26137
3.05,22.3928,10.5233,26.9973,36.4196,38.0303,8.25943
3.0625,22.6592,10.6699,27.062,36.868,38.2697,8.25727
3.075,22.9297,10.8081,27.1269,37.3236,38.4959,8.2549
