t,x1,y1,z1,vx1,vy1,vz1,x2,y2,z2,vx2,vy2,vz2
2.0375,31.8272,-19.1411,3.13925,-29.0823,-3.84507,-13.6998,50.4669,-3.12553,7.11955,-42.8789,-8.7005,0.784813
2.05,31.4636,-19.1841,2.96789,-29.0906,-3.0272,-13.7181,49.9303,-3.22627,7.12909,-42.9705,-7.41803,0.741972
2.0625,31.1,-19.2168,2.7963,-29.0753,-2.20955,-13.7355,49.3927,-3.31097,7.1381,-43.0251,-6.13364,0.699075
2.075,30.7368,-19.2393,2.6245,-29.0366,-1.39279,-13.7518,48.8548,-3.37961,7.14657,-43.0427,-4.8484,0.656126
2.0875,30.3742,-19.2516,2.45251,-28.9744,-0.577602,-13.767,48.3168,-3.43218,7.1545,-43.0232,-3.56336,0.613128
2.1,30.0125,-19.2538,2.28033,-28.8887,0.235337,-13.7813,47.7794,-3.4687,7.1619,-42.9667,-2.2796,0.570083
2.1125,29.6521,-19.2458,2.10798,-28.7797,1.04536,-13.7945,47.2428,-3.48918,7.16875,-42.8731,-0.99819,0.526996
2.125,29.2932,-19.2276,1.93548,-28.6475,1.85178,-13.8066,46.7077,-3.49367,7.17507,-42.7427,0.279814,0.483869
2.1375,28.936,-19.1995,1.76282,-28.4922,2.65395,-13.8177,46.1744,-3.4822,7.18085,-42.5755,1.55335,0.440706
2.15,28.5809,-19.1613,1.59004,-28.3138,3.4512,-13.8278,45.6434,-3.45486,7.18609,-42.3716,2.82136,0.397509
2.1625,28.2283,-19.1132,1.41713,-28.1126,4.24286,-13.8369,45.1153,-3.4117,7.19079,-42.1312,4.08279,0.354283
2.175,27.8782,-19.0553,1.24412,-27.8887,5.02829,-13.8449,44.5903,-3.35282,7.19495,-41.8546,5.33659,0.31103
2.1875,27.5311,-18.9875,1.07101,-27.6424,5.80683,-13.8518,44.0691,-3.27832,7.19856,-41.5419,6.58172,0.267754
2.2,27.1873,-18.9101,0.897828,-27.3737,6.57784,-13.8577,43.5519,-3.18832,7.20164,-41.1935,7.81715,0.224457
2.2125,26.8469,-18.8231,0.724575,-27.083,7.34067,-13.8626,43.0394,-3.08293,7.20418,-40.8096,9.04186,0.181144
2.225,26.5103,-18.7267,0.551267,-26.7705,8.0947,-13.8665,42.5318,-2.96232,7.20617,-40.3905,10.2548,0.137817
2.2375,26.1777,-18.6208,0.377918,-26.4364,8.83931,-13.8692,42.0297,-2.82662,7.20762,-39.9367,11.455,0.0944795
2.25,25.8495,-18.5057,0.20454,-26.0811,9.57387,-13.871,41.5336,-2.676,7.20853,-39.4484,12.6415,0.0511351
2.2625,25.5258,-18.3815,0.0311473,-25.7048,10.2978,-13.8717,41.0437,-2.51064,7.2089,-38.9261,13.8132,0.00778683
2.275,25.2069,-18.2483,-0.142248,-25.3078,11.0104,-13.8714,40.5605,-2.33073,7.20873,-38.3703,14.9692,-0.035562
2.2875,24.8932,-18.1063,-0.315633,-24.8905,11.7113,-13.87,40.0846,-2.13648,7.20801,-37.7813,16.1086,-0.0789082
2.3,24.5847,-17.9556,-0.488994,-24.4533,12.3997,-13.8676,39.6161,-1.92809,7.20675,-37.1597,17.2303,-0.122248
2.3125,24.2819,-17.7964,-0.662318,-23.9964,13.0751,-13.8641,39.1557,-1.7058,7.20495,-36.5061,18.3335,-0.165579
2.325,23.9849,-17.6288,-0.835592,-23.5203,13.7369,-13.8596,38.7036,-1.46984,7.20261,-35.8209,19.4172,-0.208898
2.3375,23.694,-17.453,-1.0088,-23.0254,14.3847,-13.8541,38.2603,-1.22045,7.19973,-35.1047,20.4806,-0.252201
2.35,23.4093,-17.2692,-1.18194,-22.5121,15.0178,-13.8475,37.8261,-0.95791,7.19631,-34.3582,21.5227,-0.295485
