t,x1,y1,z1,vx1,vy1,vz1,x2,y2,z2,vx2,vy2,vz2
1.4625,42.0703,-7.85558,11.7616,-8.90187,-29.4941,-10.6468,68.8699,16.0928,4.91898,-3.38685,-50.5887,1.50778
1.475,41.9541,-8.22282,11.6281,-9.68368,-29.2598,-10.7111,68.8195,15.4616,4.9376,-4.67592,-50.3988,1.47218
1.4875,41.8282,-8.58698,11.4938,-10.4588,-29.0032,-10.7747,68.7531,14.833,4.95578,-5.95853,-50.172,1.43654
1.5,41.6927,-8.9478,11.3587,-11.2267,-28.7244,-10.8375,68.6706,14.2075,4.97352,-7.23362,-49.9086,1.40085
1.5125,41.5476,-9.305,11.2228,-11.9866,-28.4238,-10.8996,68.5723,13.5854,4.9908,-8.50014,-49.6087,1.36512
1.525,41.393,-9.65831,11.0862,-12.738,-28.1016,-10.9609,68.4581,12.9674,5.00765,-9.75703,-49.2728,1.32936
1.5375,41.2292,-10.0075,10.9488,-13.4802,-27.758,-11.0214,68.3284,12.3538,5.02404,-11.0032,-48.9009,1.29356
1.55,41.0561,-10.3522,10.8107,-14.2127,-27.3933,-11.0812,68.1831,11.745,5.03998,-12.2378,-48.4935,1.25773
1.5625,40.8739,-10.6922,10.6718,-14.9348,-27.0078,-11.1402,68.0225,11.1416,5.05548,-13.4595,-48.0509,1.22187
1.575,40.6827,-11.0273,10.5322,-15.646,-26.6017,-11.1984,67.8467,10.5439,5.07053,-14.6676,-47.5735,1.186
1.5875,40.4828,-11.3572,10.3918,-16.3456,-26.1756,-11.2559,67.6559,9.95237,5.08513,-15.8608,-47.0617,1.15011
1.6,40.2741,-11.6816,10.2508,-17.0332,-25.7295,-11.3126,67.4502,9.36748,5.09928,-17.0383,-46.5159,1.11421
1.6125,40.057,-12.0003,10.109,-17.7081,-25.264,-11.3686,67.23,8.78961,5.11299,-18.1991,-45.9366,1.0783
1.625,39.8315,-12.3131,9.96658,-18.3699,-24.7795,-11.4237,66.9953,8.2192,5.12624,-19.3423,-45.3243,1.04239
1.6375,39.5978,-12.6197,9.82344,-19.0179,-24.2762,-11.4781,66.7465,7.65664,5.13905,-20.4667,-44.6795,1.00649
1.65,39.3561,-12.9199,9.67963,-19.6517,-23.7546,-11.5317,66.4837,7.10234,5.1514,-21.5716,-44.0027,0.970601
1.6625,39.1066,-13.2135,9.53515,-20.2707,-23.2152,-11.5846,66.2073,6.5567,5.16331,-22.656,-43.2946,0.934727
1.675,38.8494,-13.5002,9.39002,-20.8745,-22.6583,-11.6366,65.9174,6.02011,5.17477,-23.719,-42.5557,0.898875
1.6875,38.5848,-13.7799,9.24424,-21.4625,-22.0844,-11.6879,65.6144,5.49294,5.18579,-24.7597,-41.7866,0.863053
1.7,38.3129,-14.0523,9.09782,-22.0343,-21.494,-11.7384,65.2985,4.97556,5.19635,-25.7772,-40.988,0.827266
1.7125,38.034,-14.3172,8.95078,-22.5894,-20.8876,-11.7881,64.9701,4.46835,5.20647,-26.7707,-40.1606,0.791521
1.725,37.7482,-14.5744,8.80312,-23.1274,-20.2656,-11.8371,64.6294,3.97167,5.21614,-27.7394,-39.305,0.755826
1.7375,37.4559,-14.8238,8.65486,-23.6479,-19.6285,-11.8852,64.2767,3.48584,5.22536,-28.6825,-38.422,0.720187
1.75,37.1571,-15.0651,8.506,-24.1503,-18.977,-11.9326,63.9124,3.01123,5.23414,-29.5991,-37.5124,0.684611
1.7625,36.8522,-15.2981,8.35655,-24.6344,-18.3114,-11.9792,63.5368,2.54814,5.24248,-30.4885,-36.5769,0.649108
1.775,36.5413,-15.5228,8.20652,-25.0998,-17.6324,-12.0251,63.1503,2.09691,5.25037,-31.35,-35.6162,0.613684
1.7875,36.2248,-15.7389,8.05592,-25.546,-16.9404,-12.0701,62.7532,1.65783,5.25782,-32.1828,-34.6313,0.578349
1.8,35.9028,-15.9462,7.90477,-25.9728,-16.2361,-12.1145,62.3459,1.23122,5.26483,-32.9863,-33.6229,0.54311
1.8125,35.5756,-16.1447,7.75306,-26.3797,-15.5201,-12.158,61.9287,0.817356,5.2714,-33.7597,-32.5919,0.507977
1.825,35.2434,-16.3342,7.60082,-26.7665,-14.7928,-12.2008,61.502,0.416515,5.27753,-34.5024,-31.5391,0.472959
1.8375,34.9065,-16.5145,7.44805,-27.1328,-14.0549,-12.2428,61.0662,0.0289658,5.28323,-35.2139,-30.4654,0.438066
1.85,34.5651,-16.6855,7.29475,-27.4784,-13.307,-12.2841,60.6218,-0.345037,5.28848,-35.8934,-29.3718,0.403307
